regulator,regulator_id
AaeR,b3243
AccB,b3255
AcrR,b0464
Ada,b2213
AdiY,b4116
AgaR,b3131
AidB,b4187
AlaS,b2697
AllR,b0506
AllS,b0504
AlpA,b2624
AlsR,b4089
AppY,b0564
AraC,b0064
ArcA,b4401
ArgP,b2916
ArgR,b3237
ArsR,b3501
AscG,b2714
AsnC,b3743
AtoC,b2220
BaeR,b2079
BasR,b4113
BetI,b0313
BirA,b3973
BluR,b1162
BolA,b0435
BtsR,b2125
Crp,b3357
CadC,b4133
CaiF,b0034
Cbl,b1987
CdaR,b0162
CecR,b0796
ComR,b1111
CpxR,b3912
Cra,b0080
CreB,b4398
CsgD,b1040
CspA,b3556
CsqR,b3884
CueR,b0487
CusR,b0571
CynR,b0338
CysB,b1275
CytR,b3934
TtdR,b3060
DcuR,b4124
DeoR,b0840
DgoR,b4479
DhaR,b1201
DicA,b1570
DnaA,b3702
DpiA,b0620
DsdC,b2364
EbgR,b3075
EnvR,b3264
EnvY,b0566
EvgA,b2369
ExuR,b3094
Fnr,b1334
FabR,b3963
FadR,b1187
FeaR,b1384
FhlA,b2731
Fis,b3261
FliZ,b1921
FrlR,b3375
FucR,b2805
Fur,b0683
GadE,b3512
GadW,b3515
GadX,b3516
GalR,b2837
GalS,b2151
GatR,b4498
GcvA,b2808
GlaR,b2664
GlcC,b2980
GlpR,b3423
GlrR,b2554
GntR,b3438
GutM,b2706
H-NS,b1237
HcaR,b2537
HdfR,b4480
HicB,b1438
HigA,b3082
HipB,b1508
HprR,b1969
HyfR,b2491
HypT,b4327
IclR,b4018
IdnR,b4264
IlvY,b3773
IscR,b2531
KdgR,b1827
KdpE,b0694
LacI,b0345
LeuO,b0076
LexA,b4043
LrhA,b2289
Lrp,b0889
LsrR,b1512
LysR,b2839
MalI,b1620
MalT,b3418
MarA,b1531
MarR,b1530
EcpR,b0294
MazE,b2783
McbR,b1450
MetJ,b3938
MetR,b3828
MhpR,b0346
Mlc,b1594
MlrA,b2127
MngR,b0730
MntR,b0817
ModE,b0761
MprA,b2684
MqsA,b3021
MraZ,b0081
MurR,b2427
Nac,b1988
NadR,b4390
NagC,b0676
NanR,b3226
NarL,b1221
NarP,b2193
NemR,b1649
NfeR,b3071
NhaR,b0020
NikR,b3481
NimR,b1790
NorR,b2709
NrdR,b0413
NsrR,b4178
NtrC,b3868
OmpR,b3405
OxyR,b3961
PaaX,b1399
PdeL,b0315
PdhR,b0113
PepA,b4260
PgrR,b1328
PhoB,b0399
PhoP,b1130
PlaR,b3574
PrpR,b0330
PspF,b1303
PurR,b1658
PutA,b1014
PuuR,b1299
PyrR,b2381
QseB,b3025
RbsR,b3753
RcdA,b0846
RclR,b0305
RcnR,b2105
RcsB,b2217
RelB,b1564
RhaR,b3906
RhaS,b3905
Rob,b4396
RspR,b1540
RstA,b1608
RtcR,b3422
RutR,b1013
SdiA,b1916
SgrR,b0069
SlyA,b1642
SoxR,b4063
SoxS,b4062
SrlR,b2707
StpA,b2669
SutR,b1434
TdcA,b3118
TdcR,b3119
TorR,b0995
TreR,b4241
TrpR,b4393
TyrR,b1323
UhpA,b3669
UidR,b1618
UlaR,b4191
UvrY,b1914
UxuR,b4324
XapR,b2405
XylR,b3569
YdcI,b1422
YdeO,b1499
YefM,b2017
YeiL,b2163
YhaJ,b3105
YjjQ,b4365
YqhC,b3010
ZntR,b3292
ZraR,b4004
Zur,b4046
RpoE,b2573
FliA,b1922
RpoH,b3461
RpoS,b2741
RpoN,b3202
RpoD,b3067
MelR,b4118
LldR,b3604
ChbR,b1735
FrmR,b0357
YgbI,b2735
DecR,b0447
YciT,b1284
YdhB,b1659
YgiV,b3023
YfeC,b2398
YidZ,b3711
YcjW,b1320
XynR,b0272
YebK,b1853
RacR,b1356
DksA,b0145
YeiE,b2157
YieP,b3755
FecI,b4293
CRP-Sxy,b0959
CRP-Sxy,b3357
DinJ-YafQ,b0225
DinJ-YafQ,b0226
FlhDC,b1891
FlhDC,b1892
GadE-RcsB,b2217
GadE-RcsB,b3512
HU,b0440
HU,b4000
HigBA,b3082
HigBA,b3083
HipAB,b1507
HipAB,b1508
IHF,b0912
IHF,b1712
MazE-MazF,b2782
MazE-MazF,b2783
RcsAB,b2217
RcsAB,b1951
RcsB-BglJ,b2217
RcsB-BglJ,b4366
RelB-RelE,b1563
RelB-RelE,b1564
YefM-YoeB,b4539
YefM-YoeB,b2017
